model,auc,precision,accuracy,n,n_p,n_n,week,feat_type,course
bn,0.527344018415447,0.565493428380486,0.5714285714285711,9604,5292,4312,10,sum,calcsing
tree,0.8338615749330041,0.802408493107273,0.846418159100375,9604,5292,4312,10,sum,calcsing
ensemble,0.8331658420944129,0.8036056158264201,0.845272802998751,9604,5292,4312,10,sum,calcsing
bn,0.8963192397158891,0.835990888382688,0.892901618929016,803,381,422,8,appended,calcsing
tree,0.903810749959573,0.8428246013667429,0.9003735990037359,803,381,422,8,appended,calcsing
ensemble,0.895809232376759,0.8422273781902551,0.892901618929016,803,381,422,8,appended,calcsing
bn,0.958227251746805,0.4162679425837321,0.945472462498631,9133,358,8775,11,only,calcsing
tree,0.551876044501743,0.644067796610169,0.9626628709076972,9133,358,8775,11,only,calcsing
ensemble,0.573310732305146,0.5934065934065931,0.9626628709076972,9133,358,8775,11,only,calcsing
bn,0.90647617919519,0.529610829103215,0.849799196787149,3735,631,3104,3,appended,calcsing
tree,0.879837579851978,0.631090487238979,0.891566265060241,3735,631,3104,3,appended,calcsing
ensemble,0.8711733339323929,0.6396614268440151,0.8929049531459171,3735,631,3104,3,appended,calcsing
bn,0.525369972464944,0.0413529193926676,0.14715865542538,9133,358,8775,11,appended,calcsing
tree,0.811056200162345,0.683734939759036,0.974159640862805,9133,358,8775,11,appended,calcsing
ensemble,0.7932986359802,0.685897435897436,0.973502682579656,9133,358,8775,11,appended,calcsing
bn,0.501515331296412,0.324675324675325,0.6556359875904859,1934,612,1322,6,sum,calcsing
tree,0.5395642371926079,0.7058823529411771,0.701654601861427,1934,612,1322,6,sum,calcsing
ensemble,0.643794557661693,0.60774818401937,0.7295760082730091,1934,612,1322,6,sum,calcsing
bn,0.8917531690855309,0.452771272443404,0.8626981201621821,10852,1248,9604,1,only,calcsing
tree,0.794232871720117,0.557142857142857,0.9004791743457429,10852,1248,9604,1,only,calcsing
ensemble,0.7914962982838349,0.5581555402615279,0.900571323258386,10852,1248,9604,1,only,calcsing
bn,0.5448499373158471,0.7480916030534351,0.586438746438746,8775,3954,4821,12,appended,calcsing
