model,auc,precision,accuracy,n,n_p,n_n,week,feat_type,course
bn,0.5,,0.75,4,1,3,0,only,aidsfearandhope
tree,0.833333333,0.5,0.75,4,1,3,0,only,aidsfearandhope
ensemble,0.833333333,0.5,0.75,4,1,3,0,only,aidsfearandhope
bn,1,1,1,3,1,2,1,appended,aidsfearandhope
tree,1,1,1,3,1,2,1,appended,aidsfearandhope
ensemble,1,1,1,3,1,2,1,appended,aidsfearandhope
bn,1,1,1,3,1,2,1,only,aidsfearandhope
tree,1,1,1,3,1,2,1,only,aidsfearandhope
ensemble,1,1,1,3,1,2,1,only,aidsfearandhope
bn,0.5,,0.75,4,1,3,0,appended,aidsfearandhope
tree,0.833333333,0.5,0.75,4,1,3,0,appended,aidsfearandhope
ensemble,1,1,1,4,1,3,0,appended,aidsfearandhope
bn,0.5,,0.75,4,1,3,0,sum,aidsfearandhope
tree,0.833333333,0.5,0.75,4,1,3,0,sum,aidsfearandhope
ensemble,0.833333333,0.5,0.75,4,1,3,0,sum,aidsfearandhope
bn,1,1,1,3,1,2,1,sum,aidsfearandhope
tree,0.5,,0.666666667,3,1,2,1,sum,aidsfearandhope
ensemble,0.5,,0.666666667,3,1,2,1,sum,aidsfearandhope
bn,0.500854362,0.428571429,0.591784339,779,316,463,4,sum,cataractsurgery
tree,0.5,,0.594351733,779,316,463,4,sum,cataractsurgery
ensemble,0.5,,0.594351733,779,316,463,4,sum,cataractsurgery
bn,0.795764037,0.535496957,0.820717131,1757,350,1407,0,sum,cataractsurgery
tree,0.795764037,0.535496957,0.820717131,1757,350,1407,0,sum,cataractsurgery
ensemble,0.795764037,0.535496957,0.820717131,1757,350,1407,0,sum,cataractsurgery
bn,0.792906894,0.533604888,0.819578828,1757,350,1407,0,appended,cataractsurgery
tree,0.795764037,0.535496957,0.820717131,1757,350,1407,0,appended,cataractsurgery
ensemble,0.795764037,0.535496957,0.820717131,1757,350,1407,0,appended,cataractsurgery
bn,0.507437117,0.18556701,0.788907285,1208,194,1014,2,sum,cataractsurgery
tree,0.546727262,0.583333333,0.844370861,1208,194,1014,2,sum,cataractsurgery
ensemble,0.545247972,0.538461538,0.841887417,1208,194,1014,2,sum,cataractsurgery
bn,0.497037072,0.35,0.586649551,779,316,463,4,appended,cataractsurgery
tree,0.742645652,0.716723549,0.757381258,779,316,463,4,appended,cataractsurgery
ensemble,0.758670066,0.704615385,0.76508344,779,316,463,4,appended,cataractsurgery
bn,0.846822167,0.630573248,0.849112426,1014,235,779,3,appended,cataractsurgery
tree,0.833925109,0.665467626,0.858974359,1014,235,779,3,appended,cataractsurgery
ensemble,0.731333133,0.734939759,0.845167653,1014,235,779,3,appended,cataractsurgery
bn,0.86247687,0.540192926,0.860099338,1208,194,1014,2,only,cataractsurgery
