model,auc,precision,accuracy,n,n_p,n_n,week,feat_type,course
bn,0.795764036958067,0.535496957403651,0.8207171314741041,1757,350,1407,0,appended,cataractsurgery
tree,0.795764036958067,0.535496957403651,0.8207171314741041,1757,350,1407,0,appended,cataractsurgery
ensemble,0.795764036958067,0.535496957403651,0.8207171314741041,1757,350,1407,0,appended,cataractsurgery
bn,0.845951612366468,0.477272727272727,0.8471926083866379,1407,199,1208,1,appended,cataractsurgery
tree,0.7473792805085029,0.630057803468208,0.8905472636815921,1407,199,1208,1,appended,cataractsurgery
ensemble,0.7440097840194351,0.640718562874252,0.891968727789623,1407,199,1208,1,appended,cataractsurgery
bn,0.8434291059191931,0.608,0.884105960264901,1208,194,1014,2,appended,cataractsurgery
tree,0.809791781044755,0.737142857142857,0.908112582781457,1208,194,1014,2,appended,cataractsurgery
ensemble,0.800961792635068,0.744047619047619,0.9072847682119208,1208,194,1014,2,appended,cataractsurgery
bn,0.84553846994237,0.626582278481013,0.8471400394477321,1014,235,779,3,appended,cataractsurgery
tree,0.833925108567995,0.665467625899281,0.858974358974359,1014,235,779,3,appended,cataractsurgery
ensemble,0.731974981563925,0.739393939393939,0.8461538461538459,1014,235,779,3,appended,cataractsurgery
bn,0.49703707247724,0.35,0.586649550706033,779,316,463,4,appended,cataractsurgery
tree,0.742645651639008,0.7167235494880551,0.7573812580231071,779,316,463,4,appended,cataractsurgery
ensemble,0.7586700658884,0.704615384615385,0.7650834403080871,779,316,463,4,appended,cataractsurgery
bn,0.795764036958067,0.535496957403651,0.8207171314741041,1757,350,1407,0,only,cataractsurgery
tree,0.795764036958067,0.535496957403651,0.8207171314741041,1757,350,1407,0,only,cataractsurgery
ensemble,0.795764036958067,0.535496957403651,0.8207171314741041,1757,350,1407,0,only,cataractsurgery
bn,0.8487262471296879,0.427884615384615,0.81592039800995,1407,199,1208,1,only,cataractsurgery
tree,0.832531864621119,0.473684210526316,0.8457711442786071,1407,199,1208,1,only,cataractsurgery
ensemble,0.8215664414789179,0.4858934169279,0.8521677327647479,1407,199,1208,1,only,cataractsurgery
bn,0.862476870208829,0.540192926045016,0.8600993377483441,1208,194,1014,2,only,cataractsurgery
tree,0.543051912401635,0.6129032258064521,0.845198675496689,1208,194,1014,2,only,cataractsurgery
ensemble,0.543051912401635,0.6129032258064521,0.845198675496689,1208,194,1014,2,only,cataractsurgery
bn,0.498478682435201,0.181818181818182,0.7613412228796841,1014,235,779,3,only,cataractsurgery
tree,0.5,,0.768244575936884,1014,235,779,3,only,cataractsurgery
ensemble,0.498074454428755,0.0,0.7652859960552271,1014,235,779,3,only,cataractsurgery
bn,0.8090535035678159,0.689486552567237,0.7933247753530172,779,316,463,4,only,cataractsurgery
tree,0.7795404215763999,0.735849056603774,0.786906290115533,779,316,463,4,only,cataractsurgery
ensemble,0.7795404215763999,0.735849056603774,0.786906290115533,779,316,463,4,only,cataractsurgery
bn,0.796119402985075,0.536585365853659,0.821286283437678,1757,350,1407,0,sum,cataractsurgery
tree,0.795764036958067,0.535496957403651,0.8207171314741041,1757,350,1407,0,sum,cataractsurgery
ensemble,0.795764036958067,0.535496957403651,0.8207171314741041,1757,350,1407,0,sum,cataractsurgery
bn,0.800916835834803,0.3184165232358,0.708599857853589,1407,199,1208,1,sum,cataractsurgery
tree,0.56627092415721,0.576923076923077,0.8642501776830129,1407,199,1208,1,sum,cataractsurgery
ensemble,0.5616597058138371,0.5714285714285711,0.863539445628998,1407,199,1208,1,sum,cataractsurgery
bn,0.5165365298196379,0.21978021978022005,0.7971854304635758,1208,194,1014,2,sum,cataractsurgery
tree,0.546727261636064,0.583333333333333,0.8443708609271521,1208,194,1014,2,sum,cataractsurgery
ensemble,0.5452479716952361,0.538461538461538,0.841887417218543,1208,194,1014,2,sum,cataractsurgery
bn,0.532095157457734,0.29508196721311497,0.694280078895464,1014,235,779,3,sum,cataractsurgery
tree,0.5,,0.768244575936884,1014,235,779,3,sum,cataractsurgery
ensemble,0.5,,0.768244575936884,1014,235,779,3,sum,cataractsurgery
bn,0.5008543620307839,0.42857142857142894,0.591784338896021,779,316,463,4,sum,cataractsurgery
tree,0.5,,0.5943517329910141,779,316,463,4,sum,cataractsurgery
ensemble,0.5,,0.5943517329910141,779,316,463,4,sum,cataractsurgery
bn,0.5,,0.8406921241050122,1676,267,1409,0,appended,clinicalskills
tree,0.84716496147027,0.5863013698630141,0.878281622911695,1676,267,1409,0,appended,clinicalskills
ensemble,0.84716496147027,0.5863013698630141,0.878281622911695,1676,267,1409,0,appended,clinicalskills
bn,0.875750576442708,0.57741935483871,0.8864442867281759,1409,208,1201,1,appended,clinicalskills
